restaurant_name,address,location,primary_cuisine,rating,votes,cost_for_two,sentiment_compound,cluster,segment
Boondock Bistro,"33, Sundari Armadale, 3rd Floor, Above Axis Bank, Next to Forum Value Mall, Whitefield Main Road, Whitefield, Bangalore",Whitefield,Steak,3.9,1649,900,0.656,1,Budget crowd-pleasers
Boondock Bistro,"33, Sundari Armadale, 3rd Floor, Above Axis Bank, Next to Forum Value Mall, Whitefield Main Road, Whitefield, Bangalore",Whitefield,Steak,3.9,1649,900,0.663,1,Budget crowd-pleasers
Bootlegger,"36, Vittal Mallya Road, Lavelle Road, Bangalore",Lavelle Road,Continental,4.1,1546,1200,0.672,3,Low-traction small places
Bootlegger,"36, Vittal Mallya Road, Lavelle Road, Bangalore",Lavelle Road,Continental,4.1,1546,1200,0.673,3,Low-traction small places
Bootlegger,"36, Vittal Mallya Road, Lavelle Road, Bangalore",Lavelle Road,Continental,4.1,1546,1200,0.932,3,Low-traction small places
Bootlegger,"37, 80 Feet Road, HAL 3rd Stage, Indiranagar, Bangalore",Indiranagar,Continental,4.1,604,1800,0.927,3,Low-traction small places
Bootlegger,"37, 80 Feet Road, HAL 3rd Stage, Indiranagar, Bangalore",Indiranagar,Continental,4.1,604,1800,0.922,3,Low-traction small places
Bootlegger,"37, 80 Feet Road, HAL 3rd Stage, Indiranagar, Bangalore",Indiranagar,Continental,4.1,604,1800,0.918,3,Low-traction small places
Borah's Kitchen,"1, 13th Cross Road, Maruti Nagar, 1st Stage, BTM, Bangalore",BTM,North Indian,3.3,12,250,0.691,0,Mass-market favourites
Borah's Kitchen,"1, 13th Cross Road, Maruti Nagar, 1st Stage, BTM, Bangalore",BTM,North Indian,3.3,12,250,0.701,0,Mass-market favourites
Boston Barista - Kappayum Curriyum,"17/4, 10th Cross, Tavarakere Main Road, 1st Stage, BTM, Bangalore",BTM,Kerala,3.6,64,350,-0.07,2,Premium destination
Bottle & Glass,"256, 2nd Floor, Defense Colony, Above Girias Showroom, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Continental,4.0,988,1400,0.846,3,Low-traction small places
Bottle & Glass,"256, 2nd Floor, Defense Colony, Above Girias Showroom, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Continental,4.0,988,1400,0.697,3,Low-traction small places
Bottle & Glass,"256, 2nd Floor, Defense Colony, Above Girias Showroom, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Continental,4.0,988,1400,0.857,3,Low-traction small places
Bottle & Glass,"256, 2nd Floor, Defense Colony, Above Girias Showroom, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,Continental,4.0,988,1400,0.323,3,Low-traction small places
Bottle Breacher,"309, 15th Cross, 100 Feet road, 5th Phase, JP Nagar, Bangalore",JP Nagar,Italian,4.1,1204,1200,0.577,3,Low-traction small places
Bottle Breacher,"309, 15th Cross, 100 Feet road, 5th Phase, JP Nagar, Bangalore",JP Nagar,Italian,4.1,1204,1200,0.592,3,Low-traction small places
Bottle Breacher,"309, 15th Cross, 100 Feet road, 5th Phase, JP Nagar, Bangalore",JP Nagar,Italian,4.1,1204,1200,0.593,3,Low-traction small places
Bottle Breacher,"309, 15th Cross, 100 Feet road, 5th Phase, JP Nagar, Bangalore",JP Nagar,Italian,4.1,1204,1200,0.625,3,Low-traction small places
Bottle Breacher,"309, 15th Cross, 100 Feet road, 5th Phase, JP Nagar, Bangalore",JP Nagar,Italian,4.1,1204,1200,0.577,3,Low-traction small places
Bottle Breacher,"309, 15th Cross, 100 Feet road, 5th Phase, JP Nagar, Bangalore",JP Nagar,Italian,4.1,1204,1200,0.532,3,Low-traction small places
Bottle Breacher,"309, 15th Cross, 100 Feet road, 5th Phase, JP Nagar, Bangalore",JP Nagar,Italian,4.1,1204,1200,0.571,3,Low-traction small places
Bottle Breacher,"309, 15th Cross, 100 Feet road, 5th Phase, JP Nagar, Bangalore",JP Nagar,Italian,4.1,1204,1200,0.634,3,Low-traction small places
Bottle Breacher,"309, 15th Cross, 100 Feet road, 5th Phase, JP Nagar, Bangalore",JP Nagar,Italian,4.1,1204,1200,0.676,3,Low-traction small places
Bottle Breacher,"309, 15th Cross, 100 Feet road, 5th Phase, JP Nagar, Bangalore",JP Nagar,Italian,4.1,1204,1200,0.546,3,Low-traction small places
Bottle Breacher,"309, 15th Cross, 100 Feet road, 5th Phase, JP Nagar, Bangalore",JP Nagar,Italian,4.1,1204,1200,0.6,3,Low-traction small places
Bottle Breacher,"309, 15th Cross, 100 Feet road, 5th Phase, JP Nagar, Bangalore",JP Nagar,Italian,4.1,1204,1200,0.643,3,Low-traction small places
Bottoms Up Resto Bar,"421, 5th Main, 2nd Block, HRBR Layout, Kalyan Nagar, Bangalore",Kalyan Nagar,Finger Food,3.9,248,1200,0.678,1,Budget crowd-pleasers
